Sun x,Sun y,Mercury x,Mercury y,Venus x,Venus y,Mars x,Mars y
116.20,0.00,44.98,0.00,-68.00,-49.40,-33.17,-173.86
114.43,20.18,34.45,28.91,-51.75,-66.23,-14.20,-176.43
109.19,39.74,7.81,44.29,-31.49,-77.93,4.94,-176.93
100.63,58.10,-22.49,38.95,-8.79,-83.59,24.02,-175.36
89.01,74.69,-42.26,15.38,14.60,-82.77,42.82,-171.74
74.69,89.01,-42.26,-15.38,36.85,-75.54,61.12,-166.11
58.10,100.63,-22.49,-38.95,56.24,-62.46,78.70,-158.54
39.74,109.19,7.81,-44.29,71.28,-44.54,95.36,-149.11
20.18,114.43,34.45,-28.91,80.79,-23.17,110.91,-137.94
0.00,116.20,44.98,0.00,84.05,0.00,125.16,-125.16
-20.18,114.43,34.45,28.91,80.79,23.17,137.94,-110.91
-39.74,109.19,7.81,44.29,71.28,44.54,149.11,-95.36
-58.10,100.63,-22.49,38.95,56.24,62.46,158.54,-78.70
-74.69,89.01,-42.26,15.38,36.85,75.54,166.11,-61.12
-89.01,74.69,-42.26,-15.38,14.60,82.77,171.74,-42.82
-100.63,58.10,-22.49,-38.95,-8.79,83.59,175.36,-24.02
-109.19,39.74,7.81,-44.29,-31.49,77.93,176.93,-4.94
-114.43,20.18,34.45,-28.91,-51.75,66.23,176.43,14.20
-116.20,0.00,44.98,0.00,-68.00,49.40,173.86,33.17
-114.43,-20.18,34.45,28.91,-78.98,28.75,169.27,51.75
-109.19,-39.74,7.81,44.29,-83.85,5.86,162.69,69.73
-100.63,-58.10,-22.49,38.95,-82.21,-17.47,154.20,86.89
-89.01,-74.69,-42.26,15.38,-74.21,-39.46,143.92,103.04
-74.69,-89.01,-42.26,-15.38,-60.46,-58.39,131.95,117.98
-58.10,-100.63,-22.49,-38.95,-42.03,-72.79,118.44,131.54
-39.74,-109.19,7.81,-44.29,-20.33,-81.55,103.54,143.56
-20.18,-114.43,34.45,-28.91,2.93,-84.00,87.43,153.90
0.00,-116.20,44.98,0.00,25.97,-79.94,70.30,162.44
20.18,-114.43,34.45,28.91,47.00,-69.68,52.34,169.08
39.74,-109.19,7.81,44.29,64.39,-54.03,33.77,173.75
58.10,-100.63,-22.49,38.95,76.78,-34.19,14.81,176.38
74.69,-89.01,-42.26,15.38,83.23,-11.70,-4.32,176.95
89.01,-74.69,-42.26,-15.38,83.23,11.70,-23.41,175.45
100.63,-58.10,-22.49,-38.95,76.78,34.19,-42.22,171.89
109.19,-39.74,7.81,-44.29,64.39,54.03,-60.54,166.33
114.43,-20.18,34.45,-28.91,47.00,69.68,-78.15,158.81
116.20,0.00,44.98,0.00,25.97,79.94,-94.84,149.45
114.43,20.18,34.45,28.91,2.93,84.00,-110.43,138.33
109.19,39.74,7.81,44.29,-20.33,81.55,-124.72,125.59
100.63,58.10,-22.49,38.95,-42.03,72.79,-137.55,111.39
89.01,74.69,-42.26,15.38,-60.46,58.39,-148.78,95.88
74.69,89.01,-42.26,-15.38,-74.21,39.46,-158.27,79.25
58.10,100.63,-22.49,-38.95,-82.21,17.47,-165.90,61.70
39.74,109.19,7.81,-44.29,-83.85,-5.86,-171.59,43.42
20.18,114.43,34.45,-28.91,-78.98,-28.75,-175.28,24.63
0.00,116.20,44.98,0.00,-68.00,-49.40,-176.91,5.56
-20.18,114.43,34.45,28.91,-51.75,-66.23,-176.48,-13.58
-39.74,109.19,7.81,44.29,-31.49,-77.93,-173.98,-32.56
-58.10,100.63,-22.49,38.95,-8.79,-83.59,-169.45,-51.16
-74.69,89.01,-42.26,15.38,14.60,-82.77,-162.93,-69.16
-89.01,74.69,-42.26,-15.38,36.85,-75.54,-154.51,-86.35
-100.63,58.10,-22.49,-38.95,56.24,-62.46,-144.28,-102.53
-109.19,39.74,7.81,-44.29,71.28,-44.54,-132.36,-117.51
-114.43,20.18,34.45,-28.91,80.79,-23.17,-118.89,-131.12
-116.20,0.00,44.98,0.00,84.05,0.00,-104.04,-143.20
-114.43,-20.18,34.45,28.91,80.79,23.17,-87.96,-153.59
-109.19,-39.74,7.81,44.29,71.28,44.54,-70.86,-162.20
-100.63,-58.10,-22.49,38.95,56.24,62.46,-52.93,-168.90
-89.01,-74.69,-42.26,15.38,36.85,75.54,-34.38,-173.63
-74.69,-89.01,-42.26,-15.38,14.60,82.77,-15.43,-176.33
-58.10,-100.63,-22.49,-38.95,-8.79,83.59,3.71,-176.96
-39.74,-109.19,7.81,-44.29,-31.49,77.93,22.80,-175.53
-20.18,-114.43,34.45,-28.91,-51.75,66.23,41.62,-172.04
0.00,-116.20,44.98,0.00,-68.00,49.40,59.96,-166.54
20.18,-114.43,34.45,28.91,-78.98,28.75,77.59,-159.09
39.74,-109.19,7.81,44.29,-83.85,5.86,94.32,-149.78
58.10,-100.63,-22.49,38.95,-82.21,-17.47,109.94,-138.71
74.69,-89.01,-42.26,15.38,-74.21,-39.46,124.28,-126.03
89.01,-74.69,-42.26,-15.38,-60.46,-58.39,137.17,-111.87
100.63,-58.10,-22.49,-38.95,-42.03,-72.79,148.44,-96.40
109.19,-39.74,7.81,-44.29,-20.33,-81.55,157.99,-79.81
114.43,-20.18,34.45,-28.91,2.93,-84.00,165.68,-62.28
116.20,0.00,44.98,0.00,25.97,-79.94,171.44,-44.02
114.43,20.18,34.45,28.91,47.00,-69.68,175.19,-25.25
109.19,39.74,7.81,44.29,64.39,-54.03,176.89,-6.18
100.63,58.10,-22.49,38.95,76.78,-34.19,176.52,12.96
89.01,74.69,-42.26,15.38,83.23,-11.70,174.09,31.95
74.69,89.01,-42.26,-15.38,83.23,11.70,169.62,50.57
58.10,100.63,-22.49,-38.95,76.78,34.19,163.17,68.59
39.74,109.19,7.81,-44.29,64.39,54.03,154.81,85.81
20.18,114.43,34.45,-28.91,47.00,69.68,144.63,102.03
0.00,116.20,44.98,0.00,25.97,79.94,132.77,117.05
-20.18,114.43,34.45,28.91,2.93,84.00,119.35,130.71
-39.74,109.19,7.81,44.29,-20.33,81.55,104.54,142.83
-58.10,100.63,-22.49,38.95,-42.03,72.79,88.50,153.29
-74.69,89.01,-42.26,15.38,-60.46,58.39,71.43,161.95
-89.01,74.69,-42.26,-15.38,-74.21,39.46,53.52,168.71
-100.63,58.10,-22.49,-38.95,-82.21,17.47,34.99,173.51
-109.19,39.74,7.81,-44.29,-83.85,-5.86,16.04,176.27
-114.43,20.18,34.45,-28.91,-78.98,-28.75,-3.09,176.97
-116.20,0.00,44.98,0.00,-68.00,-49.40,-22.18,175.60
-114.43,-20.18,34.45,28.91,-51.75,-66.23,-41.02,172.18
-109.19,-39.74,7.81,44.29,-31.49,-77.93,-59.37,166.74
-100.63,-58.10,-22.49,38.95,-8.79,-83.59,-77.04,159.36
-89.01,-74.69,-42.26,15.38,14.60,-82.77,-93.80,150.10
-74.69,-89.01,-42.26,-15.38,36.85,-75.54,-109.46,139.10
-58.10,-100.63,-22.49,-38.95,56.24,-62.46,-123.84,126.46
-39.74,-109.19,7.81,-44.29,71.28,-44.54,-136.77,112.35
-20.18,-114.43,34.45,-28.91,80.79,-23.17,-148.11,96.92
0.00,-116.20,44.98,0.00,84.05,0.00,-157.71,80.36
20.18,-114.43,34.45,28.91,80.79,23.17,-165.46,62.85
39.74,-109.19,7.81,44.29,71.28,44.54,-171.28,44.62
58.10,-100.63,-22.49,38.95,56.24,62.46,-175.10,25.86
74.69,-89.01,-42.26,15.38,36.85,75.54,-176.87,6.79
89.01,-74.69,-42.26,-15.38,14.60,82.77,-176.57,-12.35
100.63,-58.10,-22.49,-38.95,-8.79,83.59,-174.20,-31.34
109.19,-39.74,7.81,-44.29,-31.49,77.93,-169.80,-49.97
114.43,-20.18,34.45,-28.91,-51.75,66.23,-163.41,-68.02
116.20,0.00,44.98,0.00,-68.00,49.40,-155.11,-85.27
114.43,20.18,34.45,28.91,-78.98,28.75,-144.99,-101.52
109.19,39.74,7.81,44.29,-83.85,5.86,-133.18,-116.59
100.63,58.10,-22.49,38.95,-82.21,-17.47,-119.81,-130.29
89.01,74.69,-42.26,15.38,-74.21,-39.46,-105.04,-142.47
74.69,89.01,-42.26,-15.38,-60.46,-58.39,-89.03,-152.98
58.10,100.63,-22.49,-38.95,-42.03,-72.79,-71.99,-161.70
39.74,109.19,7.81,-44.29,-20.33,-81.55,-54.11,-168.53
20.18,114.43,34.45,-28.91,2.93,-84.00,-35.59,-173.38
0.00,116.20,44.98,0.00,25.97,-79.94,-16.66,-176.21
-20.18,114.43,34.45,28.91,47.00,-69.68,2.47,-176.98
-39.74,109.19,7.81,44.29,64.39,-54.03,21.57,-175.68
-58.10,100.63,-22.49,38.95,76.78,-34.19,40.42,-172.32
-74.69,89.01,-42.26,15.38,83.23,-11.70,58.79,-166.95
-89.01,74.69,-42.26,-15.38,83.23,11.70,76.48,-159.62
-100.63,58.10,-22.49,-38.95,76.78,34.19,93.27,-150.43
-109.19,39.74,7.81,-44.29,64.39,54.03,108.97,-139.48
-114.43,20.18,34.45,-28.91,47.00,69.68,123.40,-126.89
-116.20,0.00,44.98,0.00,25.97,79.94,136.38,-112.82
-114.43,-20.18,34.45,28.91,2.93,84.00,147.77,-97.44
-109.19,-39.74,7.81,44.29,-20.33,81.55,157.43,-80.91
-100.63,-58.10,-22.49,38.95,-42.03,72.79,165.24,-63.43
-89.01,-74.69,-42.26,15.38,-60.46,58.39,171.13,-45.21
